,Country,OperatingSystem
1375,Canada,MacOS
1376,India,Windows
1377,India,Windows
1378,India,Windows
1379,United States of America,Windows
1380,Pakistan,Windows
1381,Sweden,Linux-based
1382,Russia,Windows
1384,Australia,MacOS
1386,United States of America,MacOS
1388,United States of America,Windows
1389,United Arab Emirates,MacOS
1390,United Kingdom,MacOS
1391,Australia,MacOS
1392,Malaysia,Windows
1393,Brazil,Linux-based
1396,Other Country (Not Listed Above),Windows
1397,United States of America,MacOS
1398,Canada,Windows
1400,United States of America,Windows
1401,Finland,Windows
1402,Germany,Windows
1403,Israel,MacOS
1405,Italy,Linux-based
1407,Germany,Windows
1408,United Kingdom,MacOS
1409,United States of America,MacOS
1410,United States of America,Windows
1411,Malaysia,Windows
1412,India,MacOS
1413,United States of America,MacOS
1414,Germany,Windows
1415,Argentina,Linux-based
1416,Brazil,Windows
1417,United Kingdom,Linux-based
1418,United States of America,MacOS
1419,India,MacOS
1420,United Kingdom,Windows
1421,Greece,Linux-based
1422,Germany,Windows
1423,Finland,Windows
1424,Lithuania,MacOS
1425,United Kingdom,Linux-based
1426,Denmark,Windows
1427,India,MacOS
1428,Sri Lanka,Windows
1429,United Kingdom,Linux-based
1430,Poland,Windows
1431,Italy,Windows
1433,Israel,MacOS
1434,Serbia,Linux-based
1435,Estonia,Windows
1437,United States of America,MacOS
1438,Russia,MacOS
1439,China,MacOS
1440,France,Linux-based
1441,United States of America,Windows
1442,United States of America,Linux-based
1443,Canada,MacOS
1448,Serbia,Linux-based
1449,Mexico,MacOS
1450,Sweden,Linux-based
1451,Poland,Linux-based
1452,United States of America,Windows
1453,Germany,MacOS
1454,United States of America,MacOS
1455,India,Windows
1457,Germany,Linux-based
1458,United States of America,MacOS
1459,New Zealand,Linux-based
1460,Australia,Windows
1461,India,Windows
1462,France,Windows
1463,Poland,Linux-based
1464,United States of America,Windows
1465,United Kingdom,Windows
1466,Sweden,Windows
1467,India,Windows
1468,India,Windows
1469,Egypt,Linux-based
1470,India,MacOS
1471,United States of America,Linux-based
1472,United Kingdom,Windows
1475,Israel,Linux-based
1476,Egypt,Windows
1477,India,Windows
1478,United States of America,Windows
1479,France,Windows
1480,Bulgaria,MacOS
1481,Germany,Linux-based
1482,United States of America,Linux-based
1483,Portugal,Linux-based
1484,Israel,Windows
1485,Iran,Linux-based
1486,Germany,Windows
1487,Latvia,Linux-based
